Date,Coin,year,month,day,Price,price_change_1y,price_change_30d,price_change_7d,hours_24_change,high,low,price_change_1y,volume,market_cap
2025-05-12 02:03:44.092353,vechain,2025,5,12,0.03121038,-9.531477727231001,40.42546567391946,23.708757959179877,-1.80804,0.03236389,0.03028972,-9.531477727231001,74657484.0,2678915479
2025-05-12 02:03:44.092353,cosmos,2025,5,12,5.32,-37.71947551846318,24.628605815028465,29.680819549627994,0.61629,5.4,5.16,-37.71947551846318,142268308.0,2384947430
2025-05-12 02:03:44.092353,arbitrum,2025,5,12,0.450978,-55.00299669294909,52.02895418194655,45.399680802613446,-7.10781,0.498363,0.443086,-55.00299669294909,652925197.0,2139882277
2025-05-12 02:03:44.092353,filecoin,2025,5,12,3.14,-44.159903168379486,27.945849563714138,19.86427657197705,-2.05649,3.3,3.1,-44.159903168379486,203794659.0,2091536317
2025-05-12 02:03:44.102709,algorand,2025,5,12,0.239845,33.350544492861346,31.54281305060976,18.730035125360402,-3.1499,0.255581,0.23718,33.350544492861346,109112685.0,2061942240
2025-05-12 02:03:44.102709,quant-network,2025,5,12,98.98,3.4952379482112312,50.496547878575015,9.482217102548104,-2.1031,101.99,96.39,3.4952379482112312,29146930.0,1439207672
2025-05-12 02:03:44.112334,optimism,2025,5,12,0.866744,-65.91618922265846,29.782865193894725,31.642857508404703,-3.11218,0.942026,0.841628,-65.91618922265846,527766800.0,1434713793
2025-05-12 02:03:44.112334,immutable-x,2025,5,12,0.718481,-68.75269575823967,71.89191369777461,30.542810154680105,-5.36261,0.791079,0.711211,-68.75269575823967,89143463.0,1304140562
2025-05-12 02:03:44.112334,the-graph,2025,5,12,0.118187,-58.8237057753156,47.79216024087352,30.01199219715678,-4.76459,0.125594,0.116018,-58.8237057753156,73210796.0,1127896495
2025-05-12 02:03:44.112334,theta-token,2025,5,12,0.993728,-50.72122696363907,34.59535147678922,45.60324410706159,0.53759,1.076,0.976536,-50.72122696363907,81608913.0,991799612
2025-05-12 02:03:44.114049,lido-dao,2025,5,12,1.093,-38.416590689573816,49.15762647096198,36.060081749153724,-6.36407,1.17,1.08,-38.416590689573816,124928457.0,980960787
2025-05-12 02:03:44.114049,the-sandbox,2025,5,12,0.357522,-15.336468433827111,35.93487187850254,29.208279307466167,-1.17871,0.370582,0.347811,-15.336468433827111,112227234.0,873850643
2025-05-12 02:03:44.114049,flow,2025,5,12,0.454576,-46.449165023101806,29.89121112924108,22.362356131559025,-0.72576,0.463261,0.443991,-46.449165023101806,34827850.0,718830270
2025-05-12 02:03:44.114049,tezos,2025,5,12,0.668361,-26.58059650899614,22.34757496275489,22.684617604250686,-1.35999,0.690601,0.654252,-26.58059650899614,29694525.0,696302449
2025-05-12 02:03:44.114049,decentraland,2025,5,12,0.366765,-11.66680793193443,45.55995521509419,26.91029450716394,-2.55164,0.386098,0.360773,-11.66680793193443,71936986.0,684415022
2025-05-12 02:03:44.114049,elrond-erd-2,2025,5,12,19.4,-50.8644297056669,35.0401671009717,23.460122036737214,-2.69959,20.19,19.2,-50.8644297056669,35220820.0,547306748
2025-05-12 02:03:44.114049,axie-infinity,2025,5,12,3.12,-55.70992430266505,29.38763465163956,33.046979584743376,-0.5718,3.22,3.05,-55.70992430266505,48199183.0,502984989
2025-05-12 02:03:44.114049,stacks,2025,5,12,3.0224e-08,-82.01802367652552,5.399895029945957,11.939510225784234,-0.99977,3.0577e-08,3.0219e-08,-82.01802367652552,22.71,24353
